model,n_samples,mse,rmse,mae,bias_mean,abs_bias_mean,max_abs_error,relative_l2_mean,global_r2
FNO,299,1.1143097811482547e-15,3.338127890222684e-08,1.6832149578969985e-08,-1.6846255273433818e-10,1.6846255273433818e-10,8.318820619024336e-07,0.042547065941534915,0.9958358327697812
UNET,299,6.1164404025665846e-15,7.820767483160833e-08,4.741818870970508e-08,7.55383202278616e-09,7.55383202278616e-09,1.180453409688198e-06,0.11064032691502536,0.9771429084435493
