metric,fno,unet,delta_fno_minus_unet,better_model
mse,1.1143097811482547e-15,6.1164404025665846e-15,-5.00213062141833e-15,FNO
rmse,3.338127890222684e-08,7.820767483160833e-08,-4.4826395929381494e-08,FNO
mae,1.6832149578969985e-08,4.741818870970508e-08,-3.058603913073509e-08,FNO
bias_mean,-1.6846255273433818e-10,7.55383202278616e-09,-7.722294575520497e-09,NA
abs_bias_mean,1.6846255273433818e-10,7.55383202278616e-09,-7.385369470051822e-09,FNO
max_abs_error,8.318820619024336e-07,1.180453409688198e-06,-3.485713477857644e-07,FNO
relative_l2_mean,0.042547065941534915,0.11064032691502536,-0.06809326097349044,FNO
global_r2,0.9958358327697812,0.9771429084435493,0.01869292432623182,FNO
