x_coord,y_coord,3_4_gt,3_4_pred,3_4_error,3_9_gt,3_9_pred,3_9_error,3_14_gt,3_14_pred,3_14_error,3_19_gt,3_19_pred,3_19_error,5_4_gt,5_4_pred,5_4_error,5_9_gt,5_9_pred,5_9_error,5_14_gt,5_14_pred,5_14_error,5_19_gt,5_19_pred,5_19_error,52_4_gt,52_4_pred,52_4_error,52_9_gt,52_9_pred,52_9_error,52_14_gt,52_14_pred,52_14_error,52_19_gt,52_19_pred,52_19_error,98_4_gt,98_4_pred,98_4_error,98_9_gt,98_9_pred,98_9_error,98_14_gt,98_14_pred,98_14_error,98_19_gt,98_19_pred,98_19_error,121_4_gt,121_4_pred,121_4_error,121_9_gt,121_9_pred,121_9_error,121_14_gt,121_14_pred,121_14_error,121_19_gt,121_19_pred,121_19_error,230_4_gt,230_4_pred,230_4_error,230_9_gt,230_9_pred,230_9_error,230_14_gt,230_14_pred,230_14_error,230_19_gt,230_19_pred,230_19_error
8,22,7.339325e-09,9.87562e-09,-2.5362952e-09,1.4358502e-08,1.8030875e-08,-3.6723726e-09,2.010103e-08,2.3608976e-08,-3.507946e-09,2.4912374e-08,3.4599665e-08,-9.687291e-09,5.074576e-08,5.057485e-08,1.709104e-10,1.13686845e-07,1.1400731e-07,-3.2046188e-10,1.7059102e-07,1.7003981e-07,5.5121063e-10,2.2151053e-07,2.2142545e-07,8.508039e-11,2.389981e-08,2.2532532e-08,1.3672778e-09,5.17418e-08,4.926059e-08,2.4812117e-09,7.6788126e-08,7.2920514e-08,3.867612e-09,9.921592e-08,9.6194626e-08,3.0212917e-09,4.7280263e-11,1.3704948e-10,-8.976922e-11,1.0468142e-10,-8.4028784e-11,1.8871021e-10,1.5695589e-10,3.9710102e-10,-2.4014513e-10,2.0417429e-10,2.4201086e-11,1.799732e-10,7.2907994e-08,7.0027006e-08,2.880988e-09,1.5227576e-07,1.4443638e-07,7.839375e-09,2.1846157e-07,2.0807272e-07,1.0388845e-08,2.7448812e-07,2.6241744e-07,1.2070672e-08,1.14644445e-08,1.2249039e-08,-7.845946e-10,2.5424887e-08,2.7271419e-08,-1.8465318e-09,3.805151e-08,4.153624e-08,-3.484729e-09,4.942773e-08,5.3831954e-08,-4.4042245e-09
8,23,5.063973e-09,5.6798015e-09,-6.158287e-10,9.928124e-09,1.0072036e-08,-1.4391155e-10,1.3907393e-08,1.2996438e-08,9.1095487e-10,1.7241048e-08,1.9552026e-08,-2.310978e-09,4.7168598e-08,4.674411e-08,4.244889e-10,1.07284144e-07,1.073097e-07,-2.5558222e-11,1.6190391e-07,1.6082822e-07,1.0756906e-09,2.1090369e-07,2.1000696e-07,8.9673335e-10,1.8786922e-08,1.8297342e-08,4.8957993e-10,4.076128e-08,4.0117968e-08,6.433112e-10,6.053032e-08,6.042775e-08,1.02566844e-10,7.8232425e-08,7.768339e-08,5.4903637e-10,1.4187352e-11,1.4381385e-10,-1.296265e-10,3.1363186e-11,-2.0700242e-10,2.383656e-10,4.7004227e-11,2.5147529e-10,-2.0447105e-10,6.11325e-11,-4.5705661e-10,5.181891e-10,6.494414e-08,6.227981e-08,2.6643292e-09,1.3742661e-07,1.3075302e-07,6.673588e-09,1.9799799e-07,1.890979e-07,8.900088e-09,2.4933115e-07,2.3706316e-07,1.2267989e-08,1.1974041e-08,1.2182163e-08,-2.0812152e-10,2.6677522e-08,2.6389749e-08,2.8777336e-10,3.9996003e-08,4.081337e-08,-8.1736573e-10,5.1990835e-08,5.176112e-08,2.2971491e-10
8,24,3.1080707e-09,3.0877914e-09,2.0279334e-11,6.109282e-09,5.679979e-09,4.2930282e-10,8.564361e-09,7.040299e-09,1.5240618e-09,1.0620847e-08,1.1744703e-08,-1.1238557e-09,4.394275e-08,4.337234e-08,5.7041305e-10,1.0150873e-07,1.0142034e-07,8.8391516e-11,1.54081e-07,1.529134e-07,1.1675922e-09,2.0136761e-07,2.0022424e-07,1.143377e-09,1.2978423e-08,1.4311901e-08,-1.3334782e-09,2.8193789e-08,3.15016e-08,-3.307811e-09,4.1882718e-08,4.7710166e-08,-5.8274487e-09,5.4140333e-08,5.981822e-08,-5.6778866e-09,4.7853162e-12,2.7829827e-10,-2.7351296e-10,1.0545134e-11,-1.6905233e-10,1.7959746e-10,1.5789746e-11,4.087326e-10,-3.9294284e-10,2.0527136e-11,-3.2774494e-10,3.4827208e-10,5.6756754e-08,5.637433e-08,3.8242476e-10,1.2209154e-07,1.2040152e-07,1.6900117e-09,1.7683759e-07,1.7463847e-07,2.1991156e-09,2.2330326e-07,2.1935318e-07,3.9500776e-09,1.281976e-08,1.1411736e-08,1.4080248e-09,2.8780677e-08,2.5494998e-08,3.2856793e-09,4.3223345e-08,3.952092e-08,3.702425e-09,5.6223566e-08,4.9426767e-08,6.7967996e-09
8,25,1.9282858e-09,1.3389467e-09,5.89339e-10,3.796581e-09,3.5098822e-09,2.8669866e-10,5.3248383e-09,3.9466883e-09,1.37815e-09,6.6048647e-09,7.642782e-09,-1.0379178e-09,4.107999e-08,4.0434045e-08,6.4594374e-10,9.639454e-08,9.6203316e-08,1.9122126e-10,1.4716858e-07,1.461254e-07,1.0431762e-09,1.929559e-07,1.9204131e-07,9.145822e-10,7.87209e-09,1.0651178e-08,-2.779088e-09,1.7101478e-08,2.3322784e-08,-6.221306e-09,2.5405091e-08,3.3962372e-08,-8.557281e-09,3.2840436e-08,4.1290264e-08,-8.4498275e-09,1.843191e-12,2.874927e-10,-2.856495e-10,4.041309e-12,-2.2117064e-10,2.2521195e-10,6.04247e-12,3.9032244e-10,-3.8427997e-10,7.850105e-12,-1.8901858e-10,1.9686869e-10,4.9564026e-08,5.0482313e-08,-9.1828767e-10,1.0860063e-07,1.09995604e-07,-1.394973e-09,1.5821577e-07,1.607274e-07,-2.5116265e-09,2.0039508e-07,2.0114791e-07,-7.5283424e-10,1.346362e-08,1.0658098e-08,2.805522e-09,3.038481e-08,2.3957156e-08,6.427655e-09,4.57011e-08,3.6534395e-08,9.166705e-09,5.9479813e-08,4.5626752e-08,1.3853061e-08
8,26,8.789512e-10,5.235492e-10,3.5540199e-10,1.7332376e-09,2.4332323e-09,-6.9999473e-10,2.4320146e-09,2.2900934e-09,1.4192114e-10,3.017228e-09,3.1595064e-09,-1.4227841e-10,3.8589665e-08,3.7899532e-08,6.901324e-10,9.1957716e-08,9.145124e-08,5.0647486e-10,1.4118399e-07,1.403142e-07,8.697896e-10,1.8568448e-07,1.8509714e-07,5.8734884e-10,4.982385e-09,7.801631e-09,-2.8192462e-09,1.081531e-08,1.6483483e-08,-5.6681726e-09,1.6063144e-08,2.3566002e-08,-7.502859e-09,2.0762213e-08,2.8857706e-08,-8.095492e-09,7.2123557e-13,2.463878e-10,-2.4566657e-10,1.5646704e-12,-3.2994052e-10,3.3150518e-10,2.332245e-12,2.4407854e-10,-2.417463e-10,3.0256e-12,-1.7829649e-10,1.8132208e-10,4.500823e-08,4.6254055e-08,-1.2458266e-09,1.00039394e-07,1.01788075e-07,-1.7486812e-09,1.4639633e-07,1.4928398e-07,-2.8876457e-09,1.8585625e-07,1.8648723e-07,-6.3097616e-10,1.2760232e-08,1.0070217e-08,2.6900153e-09,2.896086e-08,2.3668981e-08,5.291879e-09,4.363722e-08,3.595426e-08,7.68296e-09,5.6829652e-08,4.412023e-08,1.2709421e-08
8,27,5.243088e-10,1.1909407e-10,4.0521475e-10,1.0346152e-09,1.5257271e-09,-4.9111193e-10,1.4520214e-09,1.3806556e-09,7.13658e-11,1.8015781e-09,1.0359003e-09,7.6567785e-10,3.6484494e-08,3.5672237e-08,8.1225693e-10,8.821641e-08,8.770381e-08,5.1259974e-10,1.3614657e-07,1.3562249e-07,5.240821e-10,1.7957201e-07,1.796736e-07,-1.015934e-10,4.0008064e-09,5.652417e-09,-1.6516108e-09,8.680751e-09,1.0966254e-08,-2.2855025e-09,1.2891259e-08,1.7018479e-08,-4.1272203e-09,1.6661463e-08,2.182977e-08,-5.1683067e-09,3.1471115e-13,2.7655034e-10,-2.7623562e-10,6.7469717e-13,-3.198437e-10,3.2051842e-10,1.0021606e-12,1.1433343e-10,-1.1333127e-10,1.2979657e-12,2.800249e-11,-2.6704524e-11,4.170018e-08,4.3807553e-08,-2.1073738e-09,9.390325e-08,9.6620695e-08,-2.7174423e-09,1.379747e-07,1.4216425e-07,-4.189559e-09,1.7553401e-07,1.7783839e-07,-2.3043754e-09,1.1005158e-08,8.949236e-09,2.0559217e-09,2.5170884e-08,2.3255858e-08,1.9150264e-09,3.8020236e-08,3.4479505e-08,3.5407304e-09,4.9556597e-08,4.2625135e-08,6.9314616e-09
8,28,3.0735212e-10,-2.6018654e-10,5.675387e-10,6.071071e-10,5.212044e-10,8.5902674e-11,8.522859e-10,1.373401e-09,-5.2111504e-10,1.0576022e-09,1.6500721e-09,-5.9246985e-10,3.4780157e-08,3.4093247e-08,6.869101e-10,8.5194195e-08,8.531083e-08,-1.1663559e-10,1.3208393e-07,1.325544e-07,-4.7047877e-10,1.746483e-07,1.7577977e-07,-1.1314683e-09,3.514595e-09,3.9849155e-09,-4.7032045e-10,7.6247035e-09,7.1796933e-09,4.4501025e-10,1.1322549e-08,1.250384e-08,-1.1812906e-09,1.4633695e-08,1.588458e-08,-1.2508856e-09,1.8812691e-13,3.4199132e-10,-3.418032e-10,3.9830872e-13,-3.385452e-10,3.389435e-10,5.8940835e-13,2.3348434e-11,-2.2759026e-11,7.6203665e-13,-2.4208191e-11,2.4970227e-11,3.961738e-08,4.1877854e-08,-2.2604745e-09,9.028723e-08,9.323639e-08,-2.9491574e-09,1.3315545e-07,1.3725773e-07,-4.102276e-09,1.697309e-07,1.709941e-07,-1.2632029e-09,9.097612e-09,8.197603e-09,9.0000984e-10,2.0976561e-08,2.1250422e-08,-2.7386093e-10,3.1766604e-08,3.265672e-08,-8.901182e-10,4.1441396e-08,4.158017e-08,-1.3877255e-10
8,29,1.5253077e-10,-5.6343197e-10,7.1596273e-10,3.0162958e-10,-6.7414874e-10,9.757783e-10,4.2357845e-10,3.1440095e-10,1.091775e-10,5.2569543e-10,9.596164e-10,-4.3392095e-10,3.3490544e-08,3.2760532e-08,7.300116e-10,8.2911704e-08,8.3591374e-08,-6.7966965e-10,1.2902004e-07,1.3068359e-07,-1.6635511e-09,1.7093903e-07,1.7197965e-07,-1.0406183e-09,3.3658234e-09,2.8510954e-09,5.1472804e-10,7.305532e-09,4.6133763e-09,2.6921558e-09,1.0850132e-08,9.08328e-09,1.7668524e-09,1.4024052e-08,1.3007735e-08,1.0163168e-09,1.5965712e-13,4.6522075e-10,-4.650611e-10,3.3510174e-13,-3.5851855e-10,3.5885364e-10,4.945602e-13,-2.9210412e-11,2.970497e-11,6.3860793e-13,-1.5575807e-10,1.5639669e-10,3.8150947e-08,4.014723e-08,-1.996284e-09,8.7773024e-08,9.053699e-08,-2.7639686e-09,1.298242e-07,1.3345489e-07,-3.6306886e-09,1.6573325e-07,1.6578176e-07,-4.8501647e-11,7.792519e-09,7.519155e-09,2.7336355e-10,1.8095273e-08,1.8967008e-08,-8.717347e-10,2.7465433e-08,2.9635231e-08,-2.1697986e-09,3.585737e-08,3.5333912e-08,5.2345683e-10
8,30,9.706896e-11,-2.6488323e-10,3.619522e-10,1.9217232e-10,-1.8541328e-09,2.0463051e-09,2.6995556e-10,-4.3116444e-10,7.0112e-10,3.350864e-10,9.543157e-10,-6.1922933e-10,3.2625522e-08,3.162259e-08,1.0029311e-09,8.138292e-08,8.203655e-08,-6.5362826e-10,1.2697018e-07,1.2925612e-07,-2.2859439e-09,1.6845951e-07,1.6873493e-07,-2.7542058e-10,3.1702372e-09,2.9288358e-09,2.4140134e-10,6.8922135e-09,4.160171e-09,2.7320426e-09,1.02410995e-08,7.880139e-09,2.3609603e-09,1.3239755e-08,1.2246048e-08,9.937073e-10,2.254156e-13,4.1628567e-10,-4.1606027e-10,4.716961e-13,-4.691785e-10,4.6965015e-10,6.9550274e-13,-1.3633183e-10,1.3702733e-10,8.976815e-13,-3.469438e-10,3.4784148e-10,3.7003026e-08,3.932765e-08,-2.3246223e-09,8.569337e-08,9.104262e-08,-5.34925e-09,1.2699911e-07,1.336441e-07,-6.6449815e-09,1.6229026e-07,1.6714833e-07,-4.858066e-09,7.694248e-09,8.039564e-09,-3.4531578e-10,1.7946629e-08,1.7319358e-08,6.272707e-10,2.727806e-08,2.9962145e-08,-2.684084e-09,3.5630052e-08,3.6319506e-08,-6.894538e-10
8,31,5.840174e-11,1.4597603e-09,-1.4013586e-09,1.1570338e-10,-1.5034658e-09,1.6191691e-09,1.6256842e-10,-3.349001e-10,4.974685e-10,2.0180912e-10,9.801084e-10,-7.782993e-10,3.2191387e-08,3.0631476e-08,1.5599113e-09,8.061635e-08,7.9902414e-08,7.1393913e-10,1.2594306e-07,1.2693877e-07,-9.95712e-10,1.6721779e-07,1.6583417e-07,1.3836257e-09,3.0568823e-09,2.7417144e-09,3.151679e-10,6.653598e-09,3.5258907e-09,3.1277074e-09,9.889905e-09,6.388177e-09,3.5017278e-09,1.2787744e-08,1.06246745e-08,2.1630697e-09,6.2606696e-13,3.4227554e-10,-3.416495e-10,1.3099151e-12,-6.9485395e-10,6.9616385e-10,1.9313403e-12,-4.6938453e-10,4.713159e-10,2.4927148e-12,-8.3181106e-10,8.343038e-10,3.694487e-08,3.9423057e-08,-2.4781883e-09,8.585591e-08,9.31397e-08,-7.283788e-09,1.2737824e-07,1.3567777e-07,-8.299523e-09,1.6286745e-07,1.71187e-07,-8.319546e-09,7.8849265e-09,8.294251e-09,-4.0932413e-10,1.84363e-08,1.7588668e-08,8.476313e-10,2.8043678e-08,2.9453354e-08,-1.4096759e-09,3.6640156e-08,3.5511036e-08,1.1291199e-09
