x,Total UO2++ [M]
668,2.8820426932904233e-15
669,2.9222189551913833e-15
670,2.949328970826819e-15
671,2.962982678453102e-15
672,2.962982776173212e-15
673,2.9493292504517427e-15
674,2.9222194079467064e-15
675,2.882043330752948e-15
676,2.8293748967088865e-15
677,2.764958883510727e-15
678,2.6896942845912396e-15
679,2.604614602445961e-15
680,2.5108656847510317e-15
681,2.409681828778724e-15
682,2.302360905929069e-15
683,2.190239266601733e-15
684,2.0746671655220874e-15
685,1.9569853999514996e-15
686,1.8385037808215887e-15
687,1.7204819632793724e-15
688,1.6041130543198088e-15
689,1.4905102965843975e-15
690,1.3806969765567195e-15
691,1.2755996442019401e-15
692,1.1760445139463911e-15
693,1.082756878359212e-15
694,9.963632304003024e-16
695,9.1739571275379e-16
696,8.46298445773387e-16
697,7.834352392896298e-16
698,7.290981681442567e-16
699,6.835164867204591e-16
700,6.468653732224781e-16
701,6.192740286714917e-16
702,6.00832706700164e-16
703,5.915983160961859e-16
704,8.314823140153792e-16
705,8.452414846444528e-16
706,8.727190833878351e-16
707,9.138306536497715e-16
708,9.684422071295334e-16
709,1.0363618551213026e-15
710,1.117329306382873e-15
711,1.2110037656045872e-15
712,1.3169508648706758e-15
713,1.4346293446947654e-15
714,1.5633782235012009e-15
715,1.7024052687596003e-15
716,1.8507775244945055e-15
717,2.007414646595112e-15
718,2.171085710717574e-15
719,2.340410062600729e-15
720,2.5138626572596965e-15
721,2.689784178471768e-15
722,2.8663960604001983e-15
723,3.041820349415853e-15
724,3.2141041535523775e-15
725,3.381248237515694e-15
726,3.541239140203405e-15
727,3.692084038099669e-15
728,3.831847391491172e-15
729,3.958688402667344e-15
730,4.070898134393915e-15
731,4.166935165711637e-15
732,4.245458658608414e-15
733,4.30535778503806e-15
734,4.345776542791048e-15
735,4.36613313753227e-15
736,4.3661332805172774e-15
737,4.345776966448759e-15
738,4.305358479421082e-15
739,4.245459616948084e-15
740,4.166936377634426e-15
741,4.070899580829965e-15
742,3.958690063405453e-15
743,3.8318492464747576e-15
744,3.692086064587006e-15
745,3.5412413103090596e-15
746,3.381250517061823e-15
747,3.214106515014931e-15
748,3.0418227647552063e-15
749,2.866398502302407e-15
750,2.689786620997465e-15
751,2.5138650761953164e-15
752,2.340412436536644e-15
753,2.1710880278750674e-15
754,2.007416891594726e-15
755,1.850779686305132e-15
756,1.7024073398120049e-15
757,1.5633801985842975e-15
758,1.434631220641973e-15
759,1.3169526418798827e-15
760,1.2110054458650179e-15
761,1.117330897967188e-15
762,1.0363633668249204e-15
763,9.684436492686362e-16
764,9.13832038091301e-16
765,8.727204233292966e-16
766,8.452427943046185e-16
767,8.314836082788488e-16
768,1.183834147435599e-15
769,1.2042508328202273e-15
770,1.2450240335869006e-15
771,1.306028989458188e-15
772,1.3870676918715686e-15
773,1.4878564286070374e-15
774,1.6080101519134632e-15
775,1.747024464146975e-15
776,1.904256160677237e-15
777,2.0789033873667923e-15
778,2.2699865691874345e-15
779,2.4763311799120656e-15
780,2.696553652829326e-15
781,2.929051427834467e-15
782,3.171998167503974e-15
783,3.4233449804179046e-15
784,3.680828323019507e-15
785,3.941985009084627e-15
786,4.204174508756964e-15
787,4.464608445524839e-15
788,4.720386915497964e-15
789,4.968540971642228e-15
790,5.206080346494291e-15
791,5.430045261490031e-15
792,5.637560871542993e-15
793,5.825892956585575e-15
794,5.992503069813261e-15
795,6.135101524206197e-15
796,6.251696544407735e-15
797,6.34063799926306e-15
798,6.400654283174366e-15
799,6.430881121903509e-15
800,6.430881336597656e-15
801,6.4006549233936e-15
802,6.340639052396137e-15
803,6.251697983187535e-15
804,6.135103347073175e-15
805,5.992505246929436e-15
806,5.825895456517795e-15
807,5.637563660718859e-15
808,5.430048305748465e-15
809,5.206083609265651e-15
810,4.968544398818021e-15
811,4.720390465729465e-15
812,4.4646120767173796e-15
813,4.204178179846414e-15
814,3.941988680901651e-15
815,3.680831958847512e-15
816,3.423348547874226e-15
817,3.1720016485508475e-15
818,2.929054799503265e-15
819,2.6965568988030723e-15
820,2.4763342901802714e-15
821,2.269989536719146e-15
822,2.0789062067938634e-15
823,1.9042588239276258e-15
824,1.7470269839343332e-15
825,1.6080125395130376e-15
826,1.4878586964573437e-15
827,1.387069855155284e-15
828,1.3060310659214744e-15
829,1.245026043067678e-15
830,1.2042527967207858e-15
831,1.183836088166839e-15
832,1.6991249481930123e-15
833,1.7292954845411817e-15
834,1.7895481052574807e-15
835,1.8796993555585154e-15
836,1.9994579404106285e-15
837,2.1484062561088024e-15
838,2.325977210899288e-15
839,2.531427511585928e-15
840,2.7638088111124087e-15
841,3.0219382144003583e-15
842,3.304370159160628e-15
843,3.609370617303844e-15
844,3.934896312337794e-15
845,4.278579885178605e-15
846,4.637722756816934e-15
847,5.009296870767472e-15
848,5.38995634101772e-15
849,5.776059622636385e-15
850,6.163702478847129e-15
851,6.548761609959385e-15
852,6.926948387289402e-15
853,7.29387171850531e-15
854,7.645108672639176e-15
855,7.976281159445776e-15
856,8.283136499134565e-15
857,8.561629880606451e-15
858,8.808005970409622e-15
859,9.018877346051842e-15
860,9.191297253982708e-15
861,9.32282434416231e-15
862,9.411577263440676e-15
863,9.456277295468188e-15
864,9.45627761715742e-15
865,9.411578225656055e-15
866,9.32282594184743e-15
867,9.191299397857474e-15
868,9.018880073868917e-15
869,8.808009230555066e-15
870,8.561633622600221e-15
871,8.283140671123781e-15
872,7.976285710391661e-15
873,7.645113554220026e-15
874,7.29387684716421e-15
875,6.926953700484974e-15
876,6.548767044621648e-15
877,6.1637079734559686e-15
878,5.7760651181573204e-15
879,5.389961781650497e-15
880,5.009302207715566e-15
881,4.6377279625881715e-15
882,4.2785849256566984e-15
883,3.9349011632351224e-15
884,3.60937526752672e-15
885,3.304374600046802e-15
886,3.0219424394180012e-15
887,2.763812775355721e-15
888,2.5314312729669484e-15
889,2.325980776827268e-15
890,2.1484096430846936e-15
891,1.999461170705219e-15
892,1.879702455690098e-15
893,1.789551104972919e-15
894,1.729298415940336e-15
895,1.6991278448784794e-15
896,2.4494283659501506e-15
897,2.4938285627478013e-15
898,2.582499521890464e-15
899,2.7151727034475677e-15
900,2.8914215001290873e-15
901,3.1106339575366397e-15
902,3.3719785346506595e-15
903,3.674364641288655e-15
904,4.016400009930272e-15
905,4.39634720607081e-15
906,4.8120817403314316e-15
907,5.2610544175842994e-15
908,5.740260267341767e-15
909,6.246216644452483e-15
910,6.774952617440641e-15
911,7.322011431223873e-15
912,7.882467620652496e-15
913,8.45095961203933e-15
914,9.021738263040361e-15
915,9.588731133014461e-15
916,1.0145621660206307e-14
917,1.0685941809917218e-14
918,1.120317617088019e-14
919,1.169087499994095e-14
920,1.2142772923497598e-14
921,1.2552910615654797e-14
922,1.2915755013549242e-14
923,1.322631497743993e-14
924,1.3480248555413092e-14
925,1.3673958420814337e-14
926,1.3804672358993707e-14
927,1.3870506131482084e-14
928,1.3870506608973178e-14
929,1.3804673784596762e-14
930,1.3673960773290273e-14
931,1.3480251790353594e-14
932,1.3226319049863397e-14
933,1.2915759873828545e-14
934,1.255291619027562e-14
935,1.2142779133497098e-14
936,1.1690881765416034e-14
937,1.1203183443257406e-14
938,1.0685949450294775e-14
939,1.0145629575847188e-14
940,9.588739230290026e-15
941,9.021746450502746e-15
942,8.450967801124405e-15
943,7.88247572574971e-15
944,7.322019379350914e-15
945,6.774960367011316e-15
946,6.246224146862672e-15
947,5.7402674795498446e-15
948,5.261061318506602e-15
949,4.812088311303653e-15
950,4.396353437344088e-15
951,4.016405919844209e-15
952,3.674370239529532e-15
953,3.371983838534547e-15
954,3.110638993407299e-15
955,2.891426301745089e-15
956,2.7151773106295774e-15
957,2.5825039791675803e-15
958,2.4938329180873606e-15
959,2.449432669515802e-15
960,3.537186507855077e-15
961,3.602258020497366e-15
962,3.732212500237484e-15
963,3.9266586345131845e-15
964,4.184974444163793e-15
965,4.506267144711389e-15
966,4.889322765641432e-15
967,5.3325480810823225e-15
968,5.83390787630093e-15
969,6.39086094045107e-15
970,7.000298421938881e-15
971,7.658488308285168e-15
972,8.361029706768423e-15
973,9.102820519286845e-15
974,9.878041722847269e-15
975,1.0680160767567545e-14
976,1.1501956673997882e-14
977,1.23355677427604e-14
978,1.3172562735445374e-14
979,1.4004035170819367e-14
980,1.4820719520744988e-14
981,1.5613127198916355e-14
982,1.6371699363080616e-14
983,1.7086972974969123e-14
984,1.7749754762369205e-14
985,1.8351300369275327e-14
986,1.8883490469965103e-14
987,1.9339000742408777e-14
988,1.971145935879102e-14
989,1.9995587120171185e-14
990,2.018731564087958e-14
991,2.0283879657317625e-14
992,2.0283880363950055e-14
993,2.0187317749617152e-14
994,1.999559059739044e-14
995,1.9711464144047226e-14
996,1.9339006777619377e-14
997,1.8883497680115078e-14
998,1.835130863726207e-14
999,1.774976396330965e-14
1000,1.7086982965178313e-14
1001,1.63717101583263e-14
1002,1.5613138529255603e-14
1003,1.48207312598318e-14
1004,1.4004047180549092e-14
1005,1.3172574881357731e-14
1006,1.2335579893643095e-14
1007,1.1501968694301187e-14
1008,1.068017255100874e-14
1009,9.87805320574954e-15
1010,9.102831642526726e-15
1011,8.361040391469014e-15
1012,7.65849853193802e-15
1013,7.000308164430867e-15
1014,6.3908701904911034e-15
1015,5.833916638612827e-15
1016,5.332556374240842e-15
1017,4.889330618339324e-15
1018,4.506274597817988e-15
1019,4.184981548515859e-15
1020,3.9266654497162534e-15
1021,3.732219092696963e-15
1022,3.60226446157246e-15
1023,3.537192872080444e-15
1024,5.107327318256706e-15
1025,5.202300555596442e-15
1026,5.3919736247047255e-15
1027,5.675778884209346e-15
1028,6.052813567304457e-15
1029,6.5217809532491704e-15
1030,7.080916525270926e-15
1031,7.727902854317298e-15
