ground_truth,prediction,absolute_error,relative_error
2.175704e-07,4.646309e-07,2.470605e-07,1.135543e+00
2.978673e-07,7.085382e-07,4.106708e-07,1.378704e+00
3.939515e-07,9.102113e-07,5.162598e-07,1.310465e+00
5.061235e-07,1.039111e-06,5.329879e-07,1.053079e+00
6.343934e-07,1.119416e-06,4.850231e-07,7.645463e-01
7.785335e-07,1.152973e-06,3.744393e-07,4.809546e-01
9.381348e-07,1.208287e-06,2.701520e-07,2.879671e-01
1.112651e-06,1.608312e-06,4.956610e-07,4.454774e-01
1.301440e-06,2.971366e-06,1.669926e-06,1.283137e+00
3.172321e-09,5.412625e-10,2.631058e-09,8.293796e-01
9.721833e-08,2.232976e-08,7.488856e-08,7.703132e-01
4.671394e-07,1.230207e-07,3.441186e-07,7.366509e-01
1.248595e-06,2.632701e-07,9.853252e-07,7.891469e-01
2.515348e-06,4.527093e-07,2.062638e-06,8.200212e-01
